"language"	"definition"	"uralex_mng"	"mng_item"	"lgid3"	"item"	"item_UPA"	"item_IPA"	"form_set"	"cogn_set"	"borr_source"	"borr_qual"	"etym_notes"	"ref_borr"	"glossing_notes"	"general_notes"	"ref_abbr"
"Vakh-Vasyugan Khanty"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	807	"tö̆ɣət"	"tö̆ɣət"	"tø̆ɣət"	4	"d"							"DEWbOstj"
"Nganasan"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	901	"tuj"	"tuj"	"tuj "	1	"a"							"SlNgaRus"
"Tundra Nenets"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	902	"tu"			1	"a"							"JurSWb"
"Selkup"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	907	"tǖ"	"tǖ"	"tyː"	1	"a"							"SolkWb"
"Proto-Uralic*"	"A generic noun for a human nose."	"nose"	2	0	"*ńäri ?"			3	"c"						"Reconstructability and original meaning uncertain"	"UEW, Sam88"
"South Saami"	"A generic noun for a human nose."	"nose"	2	101	"njuenie"			1	"a"			"The Finnic and Saami words can be traced back to the proto-forms"				"NSsNdb"
"Ume Saami"	"A generic noun for a human nose."	"nose"	2	102	"njüennee"			1	"a"			"*ńenä and *ńana < *ńe̮na"				"WbWlap"
"Pite Saami"	"A generic noun for a human nose."	"nose"	2	104	"njuonne"			1	"a"							"EZ"
"North Saami"	"A generic noun for a human nose."	"nose"	2	105	"njunni"			1	"a"							"SSSg"
"Inari Saami"	"A generic noun for a human nose."	"nose"	2	106	"njune"			1	"a"							"InsSSk"
"Skolt Saami"	"A generic noun for a human nose."	"nose"	2	107	"njuuʹnn"			1	"a"							"SKosSk"
"Kildin Saami"	"A generic noun for a human nose."	"nose"	2	108	"njunn’"		"ɲunːʲ"	1	"a"							"WOLD"
"Standard Finnish"	"A generic noun for a human nose."	"nose"	2	203	"nenä"		"ne̞næ"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for a human nose."	"nose"	2	204	"nenä"			1	"a"							"KKSV"
"Veps"	"A generic noun for a human nose."	"nose"	2	207	"ńena"			1	"a"							"VVS"
"Ingrian"	"A generic noun for a human nose."	"nose"	2	208	"nenä"	"nenä"	"nenæ "	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for a human nose."	"nose"	2	209	"nenä"	"nenä"	"nenæ "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for a human nose."	"nose"	2	210	"nina"		"ninɑ"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for a human nose."	"nose"	2	211	"nõna"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for a human nose."	"nose"	2	212	"nanà"			1	"a"							"LivWb"
"Erzya"	"A generic noun for a human nose."	"nose"	2	301	"sudo"	"sudo"	"sudo "	2	"b"							"MordWb"
"Meadow Mari"	"A generic noun for a human nose."	"nose"	2	401	"ner"	"ner"	"ner "	3	"c"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for a human nose."	"nose"	2	501	"ni̮r"	"ni̮r"	"nɯr "	3	"c"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for a human nose."	"nose"	2	503	"ni̮r"	"ni̮r"	"nɯr "	3	"c"							"KoPRSl"
"Udmurt"	"A generic noun for a human nose."	"nose"	2	504	"ni̮r"	"ni̮r"	"nɯr "	3	"c"							"WotjWsch"
"Hungarian"	"A generic noun for a human nose."	"nose"	2	601	"orr"		"orː"	4	"d"							"FMSz"
"Sosva Mansi"	"A generic noun for a human nose."	"nose"	2	701	"ńol"	"ńol"	"ɲol "	5	"e"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for a human nose."	"nose"	2	807	"ńŏl"	"ńŏl"	"ɲŏl "	5	"e"							"DEWbOstj"
"Nganasan"	"A generic noun for a human nose."	"nose"	2	901	"ŋüŋkə"	"ŋüŋkə"	"ŋyŋkə"	7	"g"							"SlNgaRus"
"Tundra Nenets"	"A generic noun for a human nose."	"nose"	2	902	"piya"			6	"f"							"JurSWb"
"Selkup"	"A generic noun for a human nose."	"nose"	2	907	"pućə"	"pućə"	"puʨə "	6	"f"							"SolkWb"
"Proto-Uralic*"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	0	"*meni-"			1	"a"							"UEW, Sam88"
"South Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	101	"juhtedh"			8	"h"							"NSsNdb"
"South Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	101	"mïnnedh"			1	"a"							"NSsNdb"
"Ume Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	102	"mannat"			1	"a"							"WbWlap"
"Pite Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	104	"mannat"			1	"a"							"EZ"
"North Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	105	"mannat"			1	"a"							"SSSg"
"Inari Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	106	"moonnađ"			1	"a"							"InsSSk"
"Skolt Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	107	"mõõnnâd"			1	"a"							"SKosSk"
"Kildin Saami"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	108	"mēnne"		"meːnːe"	1	"a"							"WOLD"
"Standard Finnish"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	203	"mennä"		"me̞nːæ"	1	"a"							"JL"
"Karelian Proper"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	204	"männä"			1	"a"						"In Olonets Karelian (Livvi), ""mennä"""	"KKSV"
"Veps"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	207	"mändä"			1	"a"							"VVS"
"Ingrian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	208	"männä"	"männä"	"mænːæ"	1	"a"							"InkmSk"
"Western Votic"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	209	"lähtemä"	"lähtemä"	"læhtemæ "	2	"b"							"VKJMS"
"Western Votic"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	209	"menemä"	"menemä"	"menemæ"	1	"a"							"VKJMS"
"Standard Estonian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	210	"lähe- ~ läi- ~ läk-"		"læhe- ~ læi- ~ læk-"	2	"b"						"Stem used in conjugation of suppletive verb ""minna""; cogn. with Fin ""lähteä"" 'depart'"	"SVSk"
"Standard Estonian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	210	"minna"		"minːɑ"	1	"a"						"Suppletive verb; stem ""lähe-"" also used in conjugation"	"SVSk"
"Võro South Estonian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	211	"lätt"			2	"b"						"Stem used in conjugation of suppletive verb ""minemä""; cogn. with Fin ""lähteä"" 'depart'"	"VESr"
"Võro South Estonian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	211	"minemä"			1	"a"						"Suppletive verb; stem ""lätt-"" also used in conjugation"	"VESr"
"Courland Livonian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	212	"lǟʾdə"			2	"b"			"Cogn. with Fin ""lähteä"" 'depart'"				"LivWb"
"Erzya"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	301	"molʹems"	"molʹems"	"moʎems"	4	"d"			"From PFU *mulɜ- 'go by'"				"MordWb"
"Meadow Mari"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	401	"kajem"	"kajem"	"kɑjem"	5	"e"	"Volga Bulgar Turkic"	"probable"		"Bereczki2013"	"'Go, move'"	"Possibe cognate relationship. with Fin ""käydä"" 'visit, roam, come about' also proposed"	"SMSk, TscherWb"
"Meadow Mari"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	401	"mijem"	"mijem"	"mijem"	1	"a"					"'Go to'; inherent allative meaning"		"SMSk, TscherWb"
"Komi-Zyrian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	501	"munni̮"	"munni̮"	"munːɯ"	1	"a"							"SyrjWsch"
"Komi-Permyak"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	503	"munni̮"	"munni̮"	"munːɯ"	1	"a"							"KoPRSl"
"Udmurt"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	504	"mi̮ni̮ni̮"	"mi̮ni̮ni̮"	"mɯnɯnɯ"	1	"a"							"WotjWsch"
"Hungarian"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	601	"megy"		"mɛɟ"	1	"a"							"FMSz"
"Sosva Mansi"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	701	"jōmi"	"jōmi"	"joːmi "	6	"f"							"WogWb"
"Sosva Mansi"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	701	"mīni ~ mini"	"mīni, mini"	"miːni, mini"	1	"a"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	807	"jǝl-"	"jəl-"	"jəl- "	3	"c"							"DEWbOstj"
"Vakh-Vasyugan Khanty"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	807	"mən-"	"mən-"	"mən- "	1	"a"							"DEWbOstj"
"Nganasan"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	901	"mi̮nsi̮"	"mi̮nsi̮"	"mɯnsɯ"	1	"a"							"SlNgaRus"
"Tundra Nenets"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	902	"myincy°"			1	"a"							"JurSWb"
"Selkup"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."	"go"	3	907	"quə̑n-"	"quə̑n-"	"quə̠n- "	7	"g"							"SolkWb"
"Proto-Uralic*"	"A generic noun for (fresh) water."	"water"	4	0	"*weti"			1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"UEW, Sam88"
"South Saami"	"A generic noun for (fresh) water."	"water"	4	101	"tjaetsie"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic noun for (fresh) water."	"water"	4	102	"tjaahtsee"			2	"b"							"WbWlap"
"Pite Saami"	"A generic noun for (fresh) water."	"water"	4	104	"tjáhtse"			2	"b"							"EZ"
"North Saami"	"A generic noun for (fresh) water."	"water"	4	105	"čáhci"			2	"b"							"SSSg"
"Inari Saami"	"A generic noun for (fresh) water."	"water"	4	106	"čääci"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic noun for (fresh) water."	"water"	4	107	"čääʹcc"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic noun for (fresh) water."	"water"	4	108	"čāʒ’"		"tʃaːdzʲ"	2	"b"							"WOLD"
"Standard Finnish"	"A generic noun for (fresh) water."	"water"	4	203	"vesi"		"ʋe̞si"	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"JL"
"Karelian Proper"	"A generic noun for (fresh) water."	"water"	4	204	"vesi"			1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"KKSV"
"Veps"	"A generic noun for (fresh) water."	"water"	4	207	"vezi"			1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"VVS"
"Ingrian"	"A generic noun for (fresh) water."	"water"	4	208	"vezi"	"vezi"	"vezi "	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"InkmSk"
"Western Votic"	"A generic noun for (fresh) water."	"water"	4	209	"vesi"	"vesi"	"vesi "	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"VKJMS"
"Standard Estonian"	"A generic noun for (fresh) water."	"water"	4	210	"vesi"		"vesi"	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"SVSk"
"Võro South Estonian"	"A generic noun for (fresh) water."	"water"	4	211	"vesi"			1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"VESr"
"Courland Livonian"	"A generic noun for (fresh) water."	"water"	4	212	"veiʾž ~ veʾžʹ"			1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"LivWb"
"Erzya"	"A generic noun for (fresh) water."	"water"	4	301	"vedʹ"	"vedʹ"	"vedʲ "	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"MordWb"
"Meadow Mari"	"A generic noun for (fresh) water."	"water"	4	401	"βüt"	"βüt"	"βyt "	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for (fresh) water."	"water"	4	501	"va"	"va"	"vɑ"	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"SyrjWsch"
"Komi-Permyak"	"A generic noun for (fresh) water."	"water"	4	503	"va"	"va"	"vɑ"	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"KoPRSl"
"Udmurt"	"A generic noun for (fresh) water."	"water"	4	504	"vu"	"vu"	"vu"	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"WotjWsch"
"Hungarian"	"A generic noun for (fresh) water."	"water"	4	601	"víz"		"viːz"	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"FMSz"
"Sosva Mansi"	"A generic noun for (fresh) water."	"water"	4	701	"wit"	"wit"	"wit "	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for (fresh) water."	"water"	4	807	"jəŋk"	"jəŋk"	"jəŋk "	3	"c"			"From PFU *jäŋi 'ice'"				"DEWbOstj"
"Nganasan"	"A generic noun for (fresh) water."	"water"	4	901	"bi̮ˀ"	"bi̮ˀ"	"bɯʔ "	1	"a"	"Proto-Indo-European"	"possible"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"SlNgaRus"
"Tundra Nenets"	"A generic noun for (fresh) water."	"water"	4	902	"yiq"			1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"JurSWb"
"Selkup"	"A generic noun for (fresh) water."	"water"	4	907	"üt"	"üt"	"yt"	1	"a"	"Proto-Indo-European"	"probable"		"Koivulehto1999,  Häkkinen2009, SSA, NES"			"SolkWb"
"Proto-Uralic*"	"A generic noun for a human mouth."	"mouth"	5	0	"*aŋi̮"			5	"e"					"'Opening, hollow'; 'mouth'"		"UEW, Sam88"
"South Saami"	"A generic noun for a human mouth."	"mouth"	5	101	"njaelmie"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic noun for a human mouth."	"mouth"	5	102	"njàlˈbmee"			2	"b"							"WbWlap"
"Pite Saami"	"A generic noun for a human mouth."	"mouth"	5	104	"njálbme"			2	"b"							"EZ"
"North Saami"	"A generic noun for a human mouth."	"mouth"	5	105	"njálbmi"			2	"b"							"SSSg"
"Inari Saami"	"A generic noun for a human mouth."	"mouth"	5	106	"njälmi"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic noun for a human mouth."	"mouth"	5	107	"njäʹlmm"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic noun for a human mouth."	"mouth"	5	108	"njāll’m"		"ɲaːlːʲm"	2	"b"							"WOLD"
"Standard Finnish"	"A generic noun for a human mouth."	"mouth"	5	203	"suu"		"suː"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for a human mouth."	"mouth"	5	204	"suu"			1	"a"							"KKSV"
"Veps"	"A generic noun for a human mouth."	"mouth"	5	207	"su"			1	"a"							"VVS"
"Ingrian"	"A generic noun for a human mouth."	"mouth"	5	208	"sū"	"sū"	"suː"	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for a human mouth."	"mouth"	5	209	"sū"	"sū"	"suː"	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for a human mouth."	"mouth"	5	210	"suu"		"suː"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for a human mouth."	"mouth"	5	211	"suu"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for a human mouth."	"mouth"	5	212	"sū"			1	"a"							"LivWb"
"Erzya"	"A generic noun for a human mouth."	"mouth"	5	301	"kurgo"	"kurgo"	"kurgo"	3	"c"							"MordWb"
"Meadow Mari"	"A generic noun for a human mouth."	"mouth"	5	401	"umša"	"umša"	"umʃɑ "	4	"d"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for a human mouth."	"mouth"	5	501	"vom"	"vom"	"vom "	5	"e"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for a human mouth."	"mouth"	5	503	"e̮m"	"e̮m"	"ɤm"	5	"e"							"KoPRSl"
"Udmurt"	"A generic noun for a human mouth."	"mouth"	5	504	"i̮m"	"i̮m"	"ɯm"	5	"e"							"WotjWsch"
"Hungarian"	"A generic noun for a human mouth."	"mouth"	5	601	"száj"		"saːj"	1	"a"							"FMSz"
"Sosva Mansi"	"A generic noun for a human mouth."	"mouth"	5	701	"sūp"	"sūp"	"suːp "	1	"a"							"WogWb"
"Sosva Mansi"	"A generic noun for a human mouth."	"mouth"	5	701	"tūs"	"tūs"	"tuːs "	6	"f"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for a human mouth."	"mouth"	5	807	"lul"	"lul"	"lul "	7	"g"							"DEWbOstj"
"Nganasan"	"A generic noun for a human mouth."	"mouth"	5	901	"ŋaŋ"	"ŋaŋ"	"ŋɑŋ "	5	"e"							"SlNgaRus"
"Tundra Nenets"	"A generic noun for a human mouth."	"mouth"	5	902	"nyah"			5	"e"							"JurSWb"
"Selkup"	"A generic noun for a human mouth."	"mouth"	5	907	"āŋ"	"āŋ"	"ɑːŋ"	5	"e"							"SolkWb"
"Proto-Uralic*"	"A generic noun for a human tongue."	"tongue"	6	0	"*käli"			1	"a"							"UEW, Sam88"
"South Saami"	"A generic noun for a human tongue."	"tongue"	6	101	"njoektjeme"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic noun for a human tongue."	"tongue"	6	102	"njuaktjoo, njuaktjama"			2	"b"							"WbWlap"
"Pite Saami"	"A generic noun for a human tongue."	"tongue"	6	104	"njuoktjam"			2	"b"							"EZ"
"North Saami"	"A generic noun for a human tongue."	"tongue"	6	105	"njuovčča"			2	"b"			"NB giella  'language'"				"SSSg"
"Inari Saami"	"A generic noun for a human tongue."	"tongue"	6	106	"njuovča"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic noun for a human tongue."	"tongue"	6	107	"njuhččâm"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic noun for a human tongue."	"tongue"	6	108	"njuxčem’"		"ɲuxtʃemʲ"	2	"b"							"WOLD"
"Standard Finnish"	"A generic noun for a human tongue."	"tongue"	6	203	"kieli"		"kie̯li"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for a human tongue."	"tongue"	6	204	"kieli"			1	"a"							"KKSV"
"Veps"	"A generic noun for a human tongue."	"tongue"	6	207	"kelʹ"			1	"a"							"VVS"
"Ingrian"	"A generic noun for a human tongue."	"tongue"	6	208	"kēli"	"kēli"	"keːli "	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for a human tongue."	"tongue"	6	209	"tšēli"	"čēli"	"ʧeːli "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for a human tongue."	"tongue"	6	210	"keel"		"keːl"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for a human tongue."	"tongue"	6	211	"kiil'"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for a human tongue."	"tongue"	6	212	"kēlʹ"			1	"a"							"LivWb"
"Erzya"	"A generic noun for a human tongue."	"tongue"	6	301	"kelʹ"	"kelʹ"	"keʎ "	1	"a"							"MordWb"
"Meadow Mari"	"A generic noun for a human tongue."	"tongue"	6	401	"jə̑lme"	"jə̑lme"	"jə̠lme"	3	"c"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for a human tongue."	"tongue"	6	501	"ki̮v"	"ki̮v"	"kɯv "	1	"a"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for a human tongue."	"tongue"	6	503	"ki̮v"	"ki̮v"	"kɯv "	1	"a"							"KoPRSl"
"Udmurt"	"A generic noun for a human tongue."	"tongue"	6	504	"ki̮l"	"ki̮l"	"kɯl "	1	"a"							"WotjWsch"
"Hungarian"	"A generic noun for a human tongue."	"tongue"	6	601	"nyelv"		"ɲɛlv"	3	"c"							"FMSz"
"Sosva Mansi"	"A generic noun for a human tongue."	"tongue"	6	701	"ńēləm ~ ńēlm"	"ńēləm, ńēlm"	"ɲeːləm, ɲeːlm"	3	"c"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for a human tongue."	"tongue"	6	807	"ńäləm"	"ńäləm"	"ɲæləm"	3	"c"							"DEWbOstj"
"Nganasan"	"A generic noun for a human tongue."	"tongue"	6	901	"śiədʹə"	"śiədʹə"	"ɕiədʲə"	1	"a"							"SlNgaRus"
"Tundra Nenets"	"A generic noun for a human tongue."	"tongue"	6	902	"nya°myu"			4	"d"			"From compound ""nyah"" 'mouth', ""myu"" 'inside'"				"JurSWb"
"Selkup"	"A generic noun for a human tongue."	"tongue"	6	907	"śē"	"śē"	"ɕeː"	1	"a"							"SolkWb"
"Proto-Uralic*"	"A generic noun for arterial blood."	"blood"	7	0	"*weri"			1	"a"						"PFU: *wiri"	"UEW, Sam88"
"South Saami"	"A generic noun for arterial blood."	"blood"	7	101	"vïrre"			1	"a"							"NSsNdb"
"Ume Saami"	"A generic noun for arterial blood."	"blood"	7	102	"varra"			1	"a"							"WbWlap"
"Pite Saami"	"A generic noun for arterial blood."	"blood"	7	104	"varra"			1	"a"							"EZ"
"North Saami"	"A generic noun for arterial blood."	"blood"	7	105	"varra"			1	"a"							"SSSg"
"Inari Saami"	"A generic noun for arterial blood."	"blood"	7	106	"vorra"			1	"a"							"InsSSk"
"Skolt Saami"	"A generic noun for arterial blood."	"blood"	7	107	"võrr"			1	"a"							"SKosSk"
"Kildin Saami"	"A generic noun for arterial blood."	"blood"	7	108	"vērr"		"veːrː"	1	"a"							"WOLD"
"Standard Finnish"	"A generic noun for arterial blood."	"blood"	7	203	"veri"		"ʋe̞ri"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for arterial blood."	"blood"	7	204	"veri"			1	"a"							"KKSV"
"Veps"	"A generic noun for arterial blood."	"blood"	7	207	"veŕi"			1	"a"							"VVS"
"Ingrian"	"A generic noun for arterial blood."	"blood"	7	208	"veri"	"veri"	"veri "	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for arterial blood."	"blood"	7	209	"veri"	"veri"	"veri "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for arterial blood."	"blood"	7	210	"veri"		"veri"	1	"a"							"SVSk"
